RIPID,B1,B2,B3,B4,B5,evi,mndwi,ndvi,ndwi
101,203.6909091,337.9,267.7545455,1454.463636,741.0545455,1.980858925,-0.374232003,0.690935326,-0.624687201
45,377.8615385,559.8538462,565.6384615,1905.676923,1491.076923,1.381306191,-0.454748225,0.543920517,-0.548108
70,315.7363636,481.6090909,415,1824.309091,1293.054545,1.840366847,-0.46154801,0.630519032,-0.585164708
62,337.7916667,510.3125,440.8263889,1814.173611,1342.833333,1.836060782,-0.454167306,0.615095427,-0.566940377
54,364.2517483,560.1748252,503.7062937,2132.93007,1385.986014,1.70197542,-0.425835116,0.619909557,-0.586297257
46,376.4230769,578.0897436,533.0897436,2015.942308,1594.75,1.569554953,-0.469175398,0.582553844,-0.55555359
55,339.8717949,508.8846154,462.0641026,1916.269231,1264.948718,1.740259425,-0.430822586,0.614575992,-0.583679716
47,354.8547009,522.034188,471.7692308,1990.111111,1247.264957,1.831276776,-0.408727931,0.617876245,-0.586176356
41,432.075,638.1583333,617.65,2223.241667,2023.691667,1.751085207,-0.512044144,0.563762367,-0.551138675
48,342.7107438,497.1487603,459.677686,1780.371901,1307.909091,1.700069757,-0.451871674,0.592050525,-0.56609351
56,346.0022727,532.1923077,462.4155012,1958.248834,1371.962296,1.778218731,-0.443134275,0.618704242,-0.573999369
71,301.0193765,454.5760975,371.3795649,1849.567162,1154.676865,2.070840979,-0.440513313,0.667314818,-0.608423978
63,255.3454545,391.2818182,317.9272727,1555.809091,961.4,2.057614936,-0.424273852,0.66170764,-0.600375861
72,229.8560606,359.0833333,290.8181818,1370.219697,886.3030303,1.995116237,-0.427383895,0.652847861,-0.587826754
82,326.1923077,511.5687646,453.6608392,2077.351981,1526.912587,1.736887263,-0.499907049,0.642075376,-0.606057996
99,237.2628205,367.4935897,299.6858974,1511.166667,720.474359,2.039939654,-0.330348815,0.672482426,-0.613014554
100,350.7165404,547.1635101,507.3188131,1736.778409,1493.818813,1.490119591,-0.455179952,0.544247925,-0.517366682
92,298.5307692,476.6307692,388.2,1822.676923,1248.792308,1.956752421,-0.430051801,0.652920997,-0.58757363
98,250.231405,406.2231405,344.6528926,1555.173554,1110.396694,1.785373482,-0.462123359,0.638944523,-0.585968402
95,231.6818182,361.1893939,301.1136364,1415.030303,778.3409091,1.930749267,-0.366412071,0.650131231,-0.594320213
87,289.9449036,438.4779614,388.3512397,1660.65978,1378.362259,1.791504755,-0.518457876,0.621703972,-0.58365183
94,244.1433983,359.7700216,335.9123377,1337.183983,868.1877706,2.227262997,-0.410635716,0.599194433,-0.576708772
93,237.7651515,377.9242424,304.3181818,1534.219697,959.0984848,2.00727569,-0.435716112,0.669178009,-0.6055803
86,243.4876033,388.1239669,296.7190083,1603.504132,982.7933884,2.137807712,-0.434109495,0.687442297,-0.610510458
77,303.2636364,455.6818182,416.5818182,1754.272727,1474.372727,1.708820385,-0.528269845,0.615460664,-0.587555939
76,241.7121212,366.5227273,294.0833333,1382.560606,926.4015152,2.189313021,-0.43035351,0.649025867,-0.579913045
65,241.7833333,370,298.8,1389.475,795.85,2.071062931,-0.365525451,0.646283501,-0.580937195
75,263.8041958,405.7272727,327.3006993,1600.300699,938.6293706,2.062249361,-0.398286608,0.661487005,-0.596420982
74,233.1363636,350.6636364,289.9909091,1450.809091,921.8636364,2.081923741,-0.448643874,0.66563771,-0.609615684
85,336.4692308,529.0846154,445.9692308,2101.769231,1455.376923,1.85509616,-0.46709604,0.650987846,-0.599213904
84,282.8141026,456.9423077,353.0961538,1923.884615,1105.070513,2.072244662,-0.41701435,0.690506046,-0.617596909
83,353.16,531.8,530.9,1827.98,1752.37,1.385749925,-0.533222848,0.550284094,-0.549860823
73,337.1081267,480.0860882,412.1184573,1630.180441,1050.124656,2.017092196,-0.39773419,0.628235465,-0.573277777
64,277.5973193,444.955711,351.6509324,1701.481352,1047.93648,1.992368227,-0.413675045,0.668216776,-0.594504942
51,312.4685315,473.3088578,450.0833333,1702.515152,1146.920163,1.561671871,-0.412249703,0.585000705,-0.566839814
57,324.4055944,490.2167832,413.7622378,1960.048951,1098.881119,1.953825694,-0.392203811,0.655653775,-0.604874313
49,457.1889277,642.933683,628.2335664,1477.451573,1338.234674,1.0982375,-0.302428652,0.376838216,-0.362003191
42,358.8368298,515.9644522,476.4184149,1809.978438,1345.279138,1.595392435,-0.414541201,0.579376356,-0.547996792
43,368.9230769,553.7076923,543.8230769,1839.484615,1601.938462,1.417812614,-0.486790603,0.545517945,-0.538700175
50,350.2152778,540.5486111,509.5277778,1931.854167,1448.520833,1.519159949,-0.457704293,0.583441764,-0.564360519
52,379.8333333,535.8333333,503.8125,1815.486111,1390.694444,1.704223957,-0.449929699,0.570385784,-0.550120821
58,282.6666667,443.8680556,384.4513889,1741.402778,1136.125,1.775607254,-0.43881849,0.638226102,-0.594496811
59,260.1484848,395.9151515,343.0969697,1499.110606,973.2386364,1.690344658,-0.410677478,0.626771247,-0.578261107
53,310.025,468.4722222,399.1152778,1953.393056,1315.536111,2.021915701,-0.46668174,0.667459613,-0.617192107
61,371.9291667,591.7361111,576.5680556,2188.355556,1828.880556,1.433774939,-0.507419714,0.586232412,-0.576899147
68,326.5538462,498.2,421.8076923,1954.423077,1371.592308,1.894501356,-0.470897999,0.646799606,-0.596737242
60,320.4842975,496.8892562,462.1652893,1895.224793,1413.400826,1.606521653,-0.475983915,0.6102395,-0.586252803
67,330.7878788,494.9924242,472.2727273,1809.5,1464.075758,1.55928789,-0.494837217,0.586275473,-0.57064189
66,332.9834711,506.7024793,479.3966942,1795.561983,1555.801653,1.532591042,-0.508529406,0.57854595,-0.560552304
78,237.0909091,347.9090909,289.9015152,1238.568182,882.6363636,2.077299302,-0.432444361,0.621628265,-0.562208657
79,217.5530303,328.7424242,263.8939394,1166.969697,739.9318182,2.093808517,-0.383861393,0.630392402,-0.559725955
90,373.4272727,570.7363636,566.6,2070.554545,1985.427273,1.426952802,-0.531003714,0.56364002,-0.559582336
88,261.3939394,375.9015152,352.6136364,1387.69697,1058.878788,1.732960473,-0.473160128,0.593864918,-0.573883668
89,429.5272727,613.6909091,625.4909091,1905.981818,1999.527273,1.334831425,-0.529246163,0.507415497,-0.513876122
96,250.6818182,401.7909091,352.2545455,1686.372727,1240.2,1.776060209,-0.506746182,0.652088225,-0.612793434
97,248.8,388.0583333,314.8333333,1502.108333,1086.025,2.041226327,-0.465211168,0.650547564,-0.585462729
91,235.0727273,355.3391608,286.2769231,1333.703497,725.6559441,2.123048631,-0.337584798,0.648236935,-0.580310634
80,245.0075758,377.2575758,323.7651515,1590.166667,1050.704545,1.898876646,-0.466536522,0.659754048,-0.616079425
81,293.6794872,435.3012821,401.3589744,1640.121795,1190.173077,1.709718794,-0.464190836,0.608443603,-0.582591221
69,237.4358974,344.2884615,271.1089744,1186.929487,804.8974359,2.373512676,-0.401744793,0.631306077,-0.552870264
38,246.0714286,394.0833333,326.797619,1725.845238,1049.452381,1.923058604,-0.453776148,0.6821352,-0.6287675
