RIPID,B1,B2,B3,B4,B5,evi,mndwi,ndvi,ndwi
101,129,242.5,183,1139.1,558,1.556277735,-0.447136077,0.639185756,-0.670412135
45,258.9,415.3,435.6,1593.3,1231.3,1.134627,-0.518241316,0.494670582,-0.609939796
70,203.2,354.8,333.8,1421.6,1091.1,1.424841416,-0.520656663,0.568474299,-0.629355973
62,186.75,359.5833333,321,1397.833333,974,1.376148585,-0.542191426,0.433258452,-0.630467465
54,228.1818182,402,380.1818182,1823.454545,1145.636364,1.46297511,-0.504178275,0.551844069,-0.651670109
46,258.5,449.1666667,423.9166667,1728.166667,1378.833333,1.265112987,-0.520350958,0.541677594,-0.595206842
55,206.5833333,365.6666667,332.25,1578.25,1052.166667,1.388561931,-0.505454225,0.53280022,-0.640918215
47,224.6666667,391.7777778,358,1545.777778,909,1.39433743,-0.486475862,0.548925771,-0.635931114
41,327.2,503.7,452.3,1456.9,1089.5,1.229348088,-0.577490896,0.483730486,-0.598813266
48,229,379,349.5454545,1552.181818,1105.909091,1.397373184,-0.508110496,0.532995869,-0.613205357
56,217.7,397.2,355.7,1593.9,1200.2,1.379454012,-0.516258752,0.537012845,-0.632087392
71,172.75,329.4166667,260.6666667,1361.583333,951.5833333,1.545544568,-0.522395963,0.61747916,-0.664285153
63,145.4,269.8,217.9,1225.8,758.1,1.507991156,-0.497579387,0.586535692,-0.659969473
72,123.5,236.0833333,189.5833333,1044.583333,675.8333333,1.555922103,-0.522818692,0.589694167,-0.656248565
82,224,382.9090909,371,1689.636364,1291.454545,1.385785465,-0.555404419,0.607886948,-0.652282726
99,127,221.5833333,188.25,1129.25,519,1.573288663,-0.414417878,0.60633107,-0.680343315
100,273.25,428.5833333,407.1666667,1130.25,786.25,1.124166776,-0.527230243,0.459848913,-0.558615714
92,216.6,385.6,306.7,1503.1,1059.6,1.504862994,-0.502296871,0.606231129,-0.632756585
98,170.4545455,306.5454545,265.1818182,1319.090909,964.5454545,1.455404777,-0.53532233,0.603124575,-0.633592302
95,148.5,275.5833333,218.3333333,1206.166667,637.5833333,1.435052132,-0.437071994,0.614874169,-0.643979147
87,195.2727273,338.0909091,309.3636364,1365.272727,1144.818182,1.47452956,-0.566412568,0.563063494,-0.620706293
94,163,247,244.5,1033.285714,626.8571429,-0.574717658,-0.490928614,0.53321607,-0.634865531
93,154.5,273.1666667,220.5833333,1235,776.75,1.57439448,-0.503271391,0.634446929,-0.658234035
86,162.4545455,275.6363636,212.1818182,1285.818182,773.0909091,1.735819292,-0.499359497,0.653556553,-0.655528383
77,224.2,356,332.8,1483,1256.4,1.406729716,-0.577030993,0.581265062,-0.628148055
76,159.9166667,283.5,213.4166667,1091,771.0833333,1.55990313,-0.486860655,0.608560214,-0.6130853
65,147.6,235.5,207.1,1026.7,593.3,1.484908205,-0.454490417,0.598938656,-0.644531
75,158.6363636,298.1818182,212.5454545,1212.454545,733.0909091,1.497495871,-0.456291535,0.619360268,-0.637620189
74,151.6363636,250.3636364,206.8181818,1118.181818,726.1818182,1.559731845,-0.505689605,0.620914963,-0.651641358
85,201.5,379.2,340.6,1668.3,1209.1,1.492953937,-0.524051476,0.622310024,-0.637078077
84,183.25,325.8333333,249.9166667,1547.916667,909.75,1.714616168,-0.485388398,0.655251667,-0.662674387
83,273.1,452.8,468.3,1637.2,1570.8,1.129064746,-0.56743961,0.526540807,-0.579652733
73,157,283.3636364,237.1818182,1236.818182,754.3636364,1.497035688,-0.470665241,0.328680773,-0.643803873
64,144.7272727,302.1818182,226.6363636,1291.727273,793.9090909,1.531864653,-0.486876851,0.481974594,-0.654396144
51,174.3636364,264.4545455,231.4545455,874.9090909,446.3636364,1.21752828,-0.496116289,0.478434958,-0.617413272
57,183.3636364,342.8181818,286.2727273,1531.363636,840.6363636,1.571086496,-0.484379636,0.428499877,-0.661308213
49,323.2,511.6,506.4,1226.6,1115.3,-1.772241642,-0.421134692,0.300775805,-0.454976246
42,240.5454545,274.8181818,204.2727273,599.3636364,252.6363636,-3.21354212,-0.529850012,0.47437123,-0.606226092
43,233.8,440,453,1505.4,1413.3,1.046519802,-0.541359299,0.498746926,-0.57602241
50,242.0833333,386.75,401.1666667,1607,1204.583333,1.300688912,-0.522773385,0.55635945,-0.617739538
52,224.8333333,365.8333333,361.5833333,1456.916667,1161.75,1.326285278,-0.543271139,0.409379095,-0.617883613
58,170.3333333,327.25,286.6666667,1370.833333,918.3333333,1.426943186,-0.493988718,0.552116031,-0.643655851
59,165.4,276.2,204.9,957.6,577.7,0.068652868,-0.500474033,0.578645706,-0.633168715
53,195,342.8,282.1,1505.5,1018.7,1.585518069,-0.516956237,0.615098509,-0.670741642
61,289.5,495.8,497.4,1943.5,1633.7,1.257951633,-0.554592383,0.55632503,-0.609075737
68,201.2,354.2,310.2,1510.9,1141.4,1.55516343,-0.539012367,0.613563275,-0.646608865
60,221.2727273,384.2727273,347.9090909,1531.727273,1134.363636,1.321045026,-0.52638068,0.555046553,-0.632164782
67,252.0833333,402.5833333,388.5833333,1556.5,1265.666667,1.320197892,-0.541397666,0.548274154,-0.606919964
66,257.7272727,421.6363636,409.2727273,1518.090909,1385,1.233624177,-0.551650036,0.535281924,-0.594794918
78,158.9166667,256.75,216.25,994.6666667,693.0833333,1.510327596,-0.488981955,0.581593364,-0.604242653
79,138.6666667,234.3333333,193.1666667,867,538.5,1.465032686,-0.451145967,0.590098654,-0.605085587
90,233,329.8181818,294.4545455,813.4545455,524.3636364,1.252065278,-0.594064496,0.468073945,-0.608545948
88,169.3333333,268.1666667,266.8333333,1087.916667,835.1666667,1.345116053,-0.53671016,0.555110554,-0.616581867
