RIPID,B1,B2,B3,B4,B5,B6,B7,evi,mndwi,ndvi,ndwi
101,142.1545455,172.2209091,289.3945455,237.9590909,1397.187273,796.7481818,418.1954545,1.976738088,-0.466617447,0.707784909,-0.656709957
45,253.2636364,317.3818182,494.5818182,517.5,1926.545455,1652.354545,1010.263636,1.345987826,-0.538563377,0.576781625,-0.59230594
70,170.65,217.7083333,412.65,348.1083333,1986.825,1308.066667,699.4916667,1.686140819,-0.522544807,0.700380999,-0.656850642
62,314.8125,366.8611111,555.1111111,552.7569444,2029.423611,1790.027778,1085.034722,1.208077504,-0.546551699,0.59299316,-0.590343133
54,205.1239669,262.0413223,459.7768595,410.8677686,2166.669421,1291.619835,717.5371901,1.667542137,-0.471098878,0.681871956,-0.650729006
46,254.6742424,321.4015152,520.2727273,521.4621212,2068.310606,1659.924242,990.1363636,1.404382987,-0.522449255,0.597668697,-0.598661999
55,295.6969697,361.5530303,570.9621212,588.4090909,2216.189394,2143.181818,1286.242424,1.362165063,-0.578577816,0.582719227,-0.592224841
47,284.5555556,360.8686869,587.4444444,624.0707071,2281.545455,2204.929293,1340.808081,1.261881242,-0.576551378,0.568169872,-0.590310249
41,318.2272727,398.8363636,633.3545455,696.7454545,2462.909091,2266.972727,1350.954545,1.220330153,-0.562518454,0.558780515,-0.590415794
48,270.030303,336.1363636,541.2272727,557.2424242,2044.598485,1771.674242,1071.340909,1.315108446,-0.533638,0.573308853,-0.583947556
56,214.8090909,267.8181818,458.5272727,421.9,2079.936364,1462.054545,788.6454545,1.609317826,-0.523322597,0.66265521,-0.639148766
71,143.5486111,184.6319444,368.375,290.5763889,1951.319444,1138.375,564.3541667,1.8099982,-0.511189955,0.73714673,-0.681090673
63,136.7909091,176.3363636,336.7818182,266.0636364,1713.8,1000.845455,501.3727273,1.852155218,-0.498350003,0.731580013,-0.672734255
72,112.525,150.0916667,298.75,222.8,1450.466667,887.9,457.3833333,1.904559747,-0.499832143,0.736579925,-0.66159901
82,181.6363636,222.231405,413.338843,347.4628099,2075.570248,1312.636364,686.2396694,1.751663366,-0.526772537,0.714235338,-0.671115886
99,148.2121212,180.1969697,300.030303,240.2272727,1421.431818,713.8333333,374.6287879,2.066527215,-0.411937381,0.713533302,-0.653980245
100,272.05,323.9916667,518.4083333,496.9333333,1884.65,1637.741667,998.2583333,1.44083909,-0.519874056,0.582224806,-0.568486969
92,202.21,249.65,438.8,375.24,1816.48,1330.48,737,1.735113216,-0.4840525,0.671745545,-0.617411917
98,163.1,198.7909091,359.5,285.1272727,1638.818182,1124.545455,595.3545455,1.880835592,-0.512558157,0.705299963,-0.640247995
95,170.4479167,210.8958333,348.3229167,289.8020833,1443.197917,898.40625,509.9166667,1.867814739,-0.442588642,0.67061989,-0.615579714
87,232.2107438,283.0057851,466.2710744,427.0347107,1936.342975,1702.438017,996.1793388,1.616748129,-0.570815238,0.641145311,-0.615164161
94,158.0928571,198.3142857,333.2928571,282.9285714,1392.828571,1010.542857,595.6,1.805925355,-0.503400373,0.667172483,-0.618071267
93,143.4,180.9916667,338.8666667,259.6416667,1622.3,1012.225,526.2583333,1.92832238,-0.50226145,0.726292148,-0.656981046
86,142.2396694,176.9256198,331.338843,243.0909091,1676.661157,982.0165289,505.3884298,2.204140478,-0.491499009,0.746650268,-0.669003227
77,388.9381818,458.1381818,648.4036364,711.3690909,2047.919091,2412.39,1625.180909,1.199726248,-0.55758149,0.477478513,-0.510180986
76,136.0185185,173.2351852,310.9046296,242.3944444,1456.088889,944.3212963,498.7657407,1.948912267,-0.498278305,0.712217554,-0.64618135
65,138.3666667,179.2166667,337.7583333,282.625,1467.541667,888.1416667,473.3916667,1.684821266,-0.447518915,0.678403962,-0.627336991
75,154.8595041,194.3684573,356.6274105,293.7134986,1621.179063,961.7823691,505.2004132,1.746837004,-0.460676345,0.693032509,-0.640198751
74,128.1404959,165.8181818,323.3801653,234.0578512,1624.719008,988.9421488,511.9917355,1.994503971,-0.507263706,0.749243102,-0.669209139
85,195.44,242.95,443.57,381.19,2057.43,1458.01,787.18,1.686240807,-0.533022434,0.687135834,-0.646180582
84,151.7833333,193.2583333,382.7333333,288.7666667,1977.825,1170.491667,599.1416667,1.898042487,-0.507557072,0.7453557,-0.676533446
83,232.97,287.17,470.75,464.95,1996.48,1710.24,984.13,1.474440267,-0.567018831,0.622231776,-0.619247591
