RIPID,B1,B2,B3,B4,B5,evi,mndwi,ndvi,ndwi
101,270.4,391.4,288,1894.5,879.3,2.827308041,-0.232385513,0.756291074,-0.604273725
45,407,580,565.9,2111,1577.3,1.965171693,-0.393501541,0.647017384,-0.539295852
70,359,567.4,441.6,2387.1,1492.5,2.190033253,-0.390790287,0.721885657,-0.584568954
62,337.8333333,532.75,417,2184.25,1460.333333,2.355994372,-0.403990845,0.707506478,-0.557421232
54,406.0909091,607.3636364,541.1818182,2396.727273,1543.454545,2.087416704,-0.376028001,0.676884722,-0.562115019
46,538.5,664.8333333,607.8333333,2239.333333,1728.083333,2.449467221,-0.382763937,0.639611751,-0.494819778
55,356.75,532.4166667,430.4166667,2168.75,1310.25,2.379885105,-0.360386461,0.690483287,-0.56795911
47,381,545.1111111,459,2368.777778,1341,2.429592397,-0.363769723,0.711463359,-0.5756002
41,687.1,843.3,876.5,2533.1,2314.3,2.387799226,-0.430217949,0.622751755,-0.448728448
48,384.4545455,555.4545455,523.4545455,1998.090909,1442.363636,1.933200261,-0.375196059,0.628288377,-0.528560595
56,373.6,549.7,493,2241.4,1471.3,2.929984463,-0.292752007,0.684314752,-0.53684732
71,296.5,488.1666667,379.6666667,2508.333333,1270.166667,2.373217011,-0.364162358,0.775282537,-0.605930423
63,336.2,466.8,386.4,2112.1,1142.8,2.748453502,-0.333099404,0.744963521,-0.609866118
72,268.25,406.4166667,306.5833333,1831.333333,971.3333333,2.837527864,-0.32274885,0.742765263,-0.590335742
82,397.1818182,584.4545455,523.6363636,2659.818182,1786.181818,1.981000659,-0.443143032,0.720597457,-0.581347964
99,593.4166667,647.5,517.6666667,1762.666667,808.9166667,2.775891513,0.019946455,0.751287212,-0.402510246
100,404,651,609.4166667,2095.583333,1774.5,4.687191154,-0.260842768,0.598585842,-0.471997631
92,332.2,536.3,443.9,2102.5,1393.6,2.281574642,-0.373811302,0.704413289,-0.562401366
98,528.3636364,580.1818182,448.8181818,1970.363636,1166,31.03553089,-0.244749751,0.721581833,-0.471967868
95,293.1666667,418.25,316.3333333,1691.666667,884.25,3.042041659,-0.259457514,0.712787156,-0.574147284
87,314,486.3636364,364.5454545,2028.454545,1318.363636,2.957160495,-0.326427828,0.717491573,-0.597248083
94,278.6428571,407.0714286,315.9285714,1684.142857,910.0714286,3.258371998,-0.262764273,0.712340517,-0.585497111
93,351.5,465.75,373.6666667,2187.333333,1173.083333,3.001733304,-0.318828079,0.745837753,-0.608144308
86,287.3636364,452.5454545,325.4545455,2216.727273,1088.727273,2.875927086,-0.226452473,0.766500457,-0.623690177
77,539.8,711.5,648.2,2417.4,1743,2.425817617,-0.269844545,0.692651337,-0.527857605
76,275.4166667,412.8333333,307.0833333,1784.333333,1014.583333,31.47955593,0.010694282,0.728828783,-0.472644396
