RIPID,B1,B2,B3,B4,B5,B6,B7,evi,mndwi,ndvi,ndwi
101,34.6,71.4,185,155.8,1076.9,589.8,295.2,1.588008775,-0.596734953,0.563117275,-0.750341463
45,116.6,198,367,428.3,1688.5,1415.4,832.2,1.0890874,-0.633760273,0.518609968,-0.673807329
70,15.4,77.6,253.3,247.8,1605.8,1114.2,601.5,1.419536647,-0.646796823,0.616722232,-0.749824113
62,60.83333333,129.8333333,309,331.6666667,1692.083333,1445.25,844.8333333,-2.045579265,-0.668060124,0.320440503,-0.710131109
54,55.54545455,133,322.5454545,305,1944.272727,1030.363636,539.4545455,1.430194577,-0.57008053,0.637904742,-0.735456299
46,120.75,201.5,398.25,440,1855.5,1465.583333,860.5,1.194072725,-0.609589313,0.559600482,-0.672559703
55,156.8333333,238.25,444.4166667,494.75,1935.666667,1844.583333,1087.75,1.143262713,-0.660885225,0.54009553,-0.658524329
47,149.6666667,241.1111111,450.6666667,539.7777778,1919.111111,1888,1107.888889,0.989288081,-0.665157583,0.498573489,-0.654845304
41,213.9,318.7,576.9,626.9,2206.9,2085,1232.1,1.032269727,-0.599641144,0.505536446,-0.625492477
48,119.1818182,199,390.4545455,446.1818182,1804.090909,1587.181818,936.2727273,1.062735588,-0.624215348,0.502443541,-0.676218147
56,49.6,120,304.2,301,1810.3,1240.9,662.3,1.380374319,-0.632820499,0.60783692,-0.737955463
71,-2.333333333,56.58333333,232.9166667,204.6666667,1549.916667,932.4166667,461.6666667,1.495463261,-0.643542498,0.664074972,-0.765318577
63,-7.9,46.5,207.3,164.9,1441.2,795.6,380.6,1.536642369,-0.62945205,0.65596171,-0.772464222
72,-19.41666667,26.08333333,156.0833333,103.25,1177.666667,665.1666667,324.8333333,1.558247181,-0.640414466,0.656783616,-0.773333897
82,19.09090909,72.36363636,238.8181818,224.2727273,1667.545455,1118.181818,574.0909091,1.445409222,-0.677409941,0.615432555,-0.766989589
99,31.16666667,72.25,206.4166667,152.3333333,1151.583333,524.3333333,251.5,1.543992096,-0.543067222,0.510838459,-0.740057195
100,149.9166667,212.75,400.3333333,409.6666667,1611.5,1468.25,895.9166667,1.225694617,-0.601579448,0.523281674,-0.640628437
92,77.2,133.1,301.6,267.4,1527.2,1136.1,599.1,1.447111806,-0.58256259,0.589629477,-0.691237664
98,36.54545455,80,247.8181818,195.2727273,1309,870.2727273,455.1818182,1.591799889,-0.640426907,0.609040585,-0.745029114
95,44.16666667,97.33333333,247.4166667,200.9166667,1231,664,347.1666667,1.507856756,-0.544127777,0.56167532,-0.687476531
87,70,121.8181818,298.7272727,299.9090909,1637.181818,1427.545455,825.2727273,1.369980006,-0.706014677,0.559748655,-0.717791574
94,27.21428571,69.64285714,206.4285714,174.3571429,1129.642857,728.1428571,407.2142857,1.45012123,-0.635115926,0.559300435,-0.735039741
93,21.66666667,64.58333333,210.5,155.0833333,1343.083333,800.25,400.9166667,1.585677168,-0.63166829,0.637628456,-0.755880778
86,21.27272727,71.27272727,233.9090909,166.1818182,1113.363636,598.3636364,312.2727273,1.628595855,-0.611451252,0.623957119,-0.749627189
77,271.5,352.7,544.2,558,1072.1,939.1,684.8,0.970114122,-0.663377422,0.293133759,-0.599238825
76,20.5,71.58333333,235.5833333,179.4166667,1101.333333,684.9166667,370.5833333,1.592248474,-0.612867832,0.632721966,-0.71990189
65,13.5,72.5,233.9,204,1163.1,631.3,314.3,1.248466621,-0.581458151,0.57352117,-0.707033801
75,43.72727273,99.18181818,247,206,1344.090909,773.7272727,390.7272727,1.407538961,-0.574596665,0.531261466,-0.727362833
74,-14.27272727,39.09090909,198,136,1289.727273,711.4545455,347.3636364,1.6703953,-0.65178533,0.628518587,-0.772196038
85,57.7,111.7,301.4,289.6,1705.3,1258.6,669.4,1.436157562,-0.658563447,0.624161881,-0.730787098
84,40,93.58333333,272.9166667,208.8333333,1675.666667,989.6666667,497.1666667,1.643228279,-0.615946586,0.691401268,-0.750295117
83,108,175.8,345.7,378,1717.8,1490.5,847.2,1.236229126,-0.665689087,0.568302512,-0.691485411
73,1.090909091,49.09090909,193.5454545,167.3636364,1324.909091,745,373,1.427383772,-0.647902727,0.637041433,-0.768934011
64,5,55.09090909,216.6363636,175.9090909,1413.545455,819,404.6363636,1.52138765,-0.623593265,0.657104644,-0.755573961
51,101.3636364,167,301.2727273,307.0909091,1202.545455,845.0909091,502.3636364,1.06096908,-0.658904124,0.521558038,-0.685605114
57,35.18181818,101.0909091,273.0909091,266.3636364,1730.181818,1000,500,1.470408534,-0.613821165,0.650412565,-0.753136429
49,116.4,210.2,420.9,481.6,1261.2,1011.1,658.5,0.649295861,-0.441451953,0.319796613,-0.515803802
42,149.4545455,249,474.8181818,541.3636364,1848.545455,1906.363636,1143.727273,1.00384383,-0.6486263,0.500335501,-0.651939831
43,110.6,201.5,418.1,463.4,1739.4,1642.5,1004.9,1.122632217,-0.628361553,0.513360476,-0.654669726
50,78.91666667,152.0833333,343.3333333,371.1666667,1742.333333,1446.083333,842.5833333,1.255061732,-0.6595668,0.58328789,-0.706182654
52,26.33333333,97,275.25,296.5,1634.166667,1257.666667,728.3333333,1.258302291,-0.68825462,0.594942967,-0.736970887
58,14.91666667,67,232.3333333,214.5,1541.083333,943.1666667,484.0833333,1.433592634,-0.657374089,0.64365913,-0.759042338
59,35.2,92.4,258.4,234.8,1337,863.6,456.2,1.332366799,-0.60126884,0.574160415,-0.725830543
53,29.9,100.8,272.6,234.3,1668.1,991.1,516.3,1.533544132,-0.64475289,0.639138365,-0.756668246
61,241.7,305.8,505.8,545.3,1911.1,1766.8,1082.5,1.110317096,-0.577130729,0.509509915,-0.601298577
68,124.2,180.4,345.1,330.1,1562.2,1218.8,659.2,1.358216316,-0.594541883,0.586055523,-0.66855464
60,105.5454545,173.6363636,346,367.3636364,1603.636364,1195.272727,689.2727273,1.13534642,-0.613369514,0.533041036,-0.682624454
67,23.08333333,88,225.5833333,226,1156.166667,777.0833333,419.9166667,1.074882342,-0.674453984,0.514229479,-0.685050944
66,85.27272727,158.1818182,352.1818182,397.2727273,1636.181818,1400.454545,825.0909091,1.115820627,-0.665089125,0.542614991,-0.690485196
78,21.41666667,77.33333333,237,178,1198.333333,676.0833333,338.1666667,1.583326848,-0.582590957,0.640178939,-0.701827437
79,17.66666667,66.58333333,195.8333333,150,1006.083333,524.25,257.9166667,1.601289673,-0.579167902,0.585322291,-0.709962179
90,263.1818182,329.0909091,523,572.3636364,1936.363636,2123.818182,1286.909091,1.171845181,-0.620499638,0.51817292,-0.600808805
88,69.16666667,127.8333333,277.25,251.75,1264.666667,944.1666667,538.8333333,1.422305726,-0.617995868,0.590959206,-0.669762239
89,260,335.7,526.1,576.7,1875.4,1960,1218.8,1.099639496,-0.590078509,0.483554307,-0.582170999
96,59.5,108.5,279.4,200.8,1491.4,1016,539.9,1.658219816,-0.625607318,0.611659884,-0.721080238
97,81.75,127.5833333,308.25,241.5,1554.916667,1017.416667,517.6666667,1.573873841,-0.602753932,0.599856804,-0.693313166
91,38.92307692,82.92307692,235.9230769,176.5384615,1167.153846,573.5384615,293.2307692,1.605305087,-0.515727765,0.464702244,-0.697796602
80,113.25,167.1666667,332.5833333,289.9166667,1516.416667,1187.25,666.0833333,1.474512287,-0.614048277,0.587591529,-0.684320609
81,106,160.25,318.4166667,286.5,1428.5,1096.666667,642.8333333,1.42279272,-0.586950223,0.57985575,-0.644323488
69,40.33333333,84.16666667,205.3333333,150.3333333,1098.416667,548,265.1666667,1.68967356,-0.565272177,0.635634253,-0.70022656
38,86.83333333,136.9166667,312.0833333,296.6666667,1619.5,1072.916667,588.3333333,1.465520486,-0.583633428,0.589316522,-0.714237774
44,340.5454545,431.4545455,702.5454545,745.4545455,2194.545455,2203.363636,1390.727273,0.990968425,-0.538037035,0.418294728,-0.541934198
1015,318.9090909,392.8181818,638.8181818,593.0909091,2202.818182,2089.272727,1253.636364,0.982200248,-0.574306022,0.428363738,-0.610201077
1016,432.5833333,532.75,845.0833333,836.25,2482.5,2647.583333,1536.166667,0.736652227,-0.552014589,0.358108155,-0.575507805
1012,337.5555556,426.6666667,685.5555556,662.3333333,2291.444444,2489.666667,1498.444444,1.021059273,-0.59726621,0.435264988,-0.607810835
1011,142.1666667,190.75,444,249.1666667,2721.416667,1115.916667,457.3333333,0.722987612,-0.566490317,0.346254575,-0.794752494
1010,153.5,198.8333333,430.1666667,320.4166667,2446.916667,1270.333333,602.5,1.857201624,-0.514184569,0.65724878,-0.724660714
1014,159,207.0833333,496.8333333,278,2676.583333,1603.083333,719.0833333,0.566839237,-0.592126921,0.311495587,-0.786910623
1017,239.9090909,295.1818182,566.4545455,435.6363636,2516,2144.090909,1155.090909,0.973688892,-0.622042109,0.429876346,-0.729548779
1013,313.5833333,419.1666667,615.3333333,714.3333333,1914.333333,2266.583333,1409.75,0.802667786,-0.652660275,0.377422678,-0.576421062
