file_name,min,max,avg,qav,std,ske,kur,p05,p10,p25,p50,p75,p90,int_p25,int_p50,int_p75,cov,dns
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip10.las,1.37,30.22,17.12,318.1,4.99,-0.43,3.18,7.85,10.24,14.24,17.73,20.37,22.93,30,59,92,73.7,62.7
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip100.las,1.38,27.73,14.26,249.44,6.78,-0.02,2.02,2.9,4.95,8.82,14.15,19.65,23.47,30,66,103,29.9,30.4
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip1001.las,1.44,21.87,11.47,157.12,5.07,-0.17,1.93,3.11,4.38,6.98,12.18,15.43,17.97,27,51,81,11.3,12.2
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip1002.las,1.37,24.71,12.35,180.42,5.28,-0.3,2.02,3.08,4.55,8.1,13.27,16.75,18.57,19,37,60,57.5,54.5
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip1003.las,1.37,22.87,10.54,132.29,4.61,-0.07,2.27,2.68,3.82,7.08,10.87,13.97,16.37,28,53,88,63.0,59.9
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip1004.las,1.37,22.91,12.48,177.49,4.67,-0.43,2.41,3.63,5.54,9.26,13.18,16.07,18.11,23,45,70,71.8,66.6
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip1005.las,1.37,25.49,11.6,160.95,5.14,-0.28,2.23,2.31,3.59,7.76,12.35,15.53,17.81,26,48,77,63.1,60.5
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip1006.las,1.37,19.68,7.77,75.31,3.87,0.53,2.61,2.29,2.99,4.76,7.3,10.21,13.67,45,72,99,58.7,57.3
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip1007.las,1.4,20.32,11.49,151.63,4.44,-0.17,2.42,3.34,5.72,8.42,11.81,14.68,17.68,35,66,103,8.9,9.5
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip1008.las,1.37,18.57,8.31,84.73,3.96,0.05,2.18,1.95,2.52,5.18,8.54,11.21,13.5,28,47,70,52.6,51.8
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip1009.las,1.37,20.58,8.19,86.64,4.42,0.44,2.35,2.12,2.67,4.38,7.77,11.42,14.33,45,70,99,55.9,54.6
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip101.las,1.37,30.07,12.03,185.26,6.37,0,2.03,2.01,2.75,6.88,12.39,17.04,20.26,34,92,127,76.7,71.1
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip1010.las,1.37,6.16,2.8,8.88,1.02,0.52,2.49,1.46,1.56,1.89,2.7,3.56,4.2,63,92,116,45.2,45.0
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip1011.las,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.0,0.0
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip1012.las,1.37,6.44,2.53,7.16,0.87,0.92,3.44,1.46,1.57,1.83,2.32,3.08,3.79,48,67,98,16.3,16.3
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip1013.las,1.37,28.85,17.13,338.85,6.74,-0.67,2.56,2.92,6.56,12.88,18.75,22.25,25,12,23,43,34.8,40.2
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip1014.las,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.0,0.0
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip1015.las,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.0,0.0
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip1016.las,1.64,2.03,1.77,3.14,0.14,0.93,2.39,1.64,1.64,1.66,1.74,1.8,1.92,64,64,65,0.0,0.0
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip1017.las,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.0,0.0
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip11.las,1.37,28.35,14.49,241.13,5.58,-0.36,2.41,4.28,6.21,10.55,15.32,18.75,21.05,33,66,98,67.4,60.1
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip12.las,1.37,28.46,14.18,225.79,4.98,-0.04,3.08,5.16,7.59,11.14,14.36,17.2,20.32,37,76,108,80.6,69.4
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip13.las,1.46,3.96,2.02,4.55,0.7,1.79,5.35,1.51,1.55,1.58,1.78,2.27,2.47,67,78,84,0.1,0.1
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip14.las,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.0,0.0
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip15.las,1.37,34.55,21.34,493.23,6.14,-1.02,3.76,8.4,11.97,18.48,22.64,25.69,27.94,24,52,76,53.2,48.9
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip16.las,1.37,27.13,12.02,190.84,6.81,-0.21,1.78,1.89,2.29,4.15,13.73,17.22,20.07,35,61,83,48.9,47.4
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip17.las,1.38,23.67,11.26,144.33,4.19,0.01,2.56,4.2,5.65,8.17,11.37,14.23,16.42,18,55,105,72.8,61.0
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip18.las,1.38,22.71,13.02,187.08,4.18,-0.46,2.61,5.34,7.02,10.19,13.66,16.18,18.05,30,65,98,68.6,58.7
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip19.las,1.38,18.47,9.17,99.32,3.91,0.18,2.23,3.06,4.03,6.17,8.91,11.93,14.79,36,72,99,30.7,31.7
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip2.las,1.37,26.87,15.7,278.17,5.62,-1.13,3.77,2.28,5.09,13.88,16.95,19.28,21.39,44,69,88,51.7,49.8
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip20.las,1.37,26.29,16.44,291.5,4.6,-0.8,3.42,7.32,9.79,13.83,17.25,19.82,21.63,24,54,87,63.5,54.4
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip21.las,1.37,21.53,12.25,164.21,3.78,-0.3,2.92,5.23,7.2,9.94,12.42,14.83,16.94,28,55,87,62.7,52.3
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip22.las,1.37,27,9.74,135.56,6.37,0.46,2.08,1.86,2.3,3.68,9.02,15,18.79,46,76,103,49.6,46.8
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip23.las,1.37,31.38,21.79,503.38,5.36,-1.47,5.49,10.9,14.45,19.93,22.98,25.37,27.14,20,41,59,60.1,51.5
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip24.las,1.37,35.79,16.27,331.8,8.2,-0.23,1.89,3.03,4.25,8.19,18.11,22.85,26.04,30,55,76,55.7,52.6
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip25.las,1.37,27.89,10.06,148.75,6.89,0.59,2.08,2.18,2.67,3.88,8.05,15.67,20.58,35,58,77,60.9,55.5
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip26.las,1.38,19.54,9.13,98.76,3.93,0.06,2.26,2.69,3.84,6.1,9.17,12.15,14.27,36,61,88,29.2,30.0
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip27.las,1.37,22.68,12.22,170.89,4.64,-0.23,2.23,4.16,5.31,8.7,12.73,15.75,18.13,23,49,87,53.9,48.9
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip28.las,1.37,23.22,12.22,173.45,4.92,-0.5,2.37,2.61,4.19,8.89,13.04,16.08,17.97,28,52,87,55.5,51.5
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip29.las,1.37,26.65,15.08,246.69,4.39,-0.34,2.97,7.52,9.37,12.24,15.36,18.18,20.49,26,52,87,66.1,55.1
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip3.las,1.38,29.49,15.1,295.53,8.21,-0.41,1.85,1.79,2.31,6.96,17.01,21.77,24.56,38,62,77,33.8,34.7
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip30.las,1.37,23.54,12.91,190.35,4.87,-0.26,2.19,4.48,6.1,9.07,13.42,16.85,19.11,35,63,98,52.6,48.0
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip31.las,1.37,27.77,15.8,280.63,5.57,-0.91,3.29,2.86,7.03,12.94,16.98,19.82,21.76,29,57,88,58.8,54.1
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip32.las,1.38,20.23,9.12,98.98,3.99,0.31,2.34,3.07,4.06,6.15,8.51,11.95,14.91,27,49,68,24.1,25.5
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip33.las,1.38,24.46,12.21,174.51,5.04,-0.16,2.17,3.71,4.84,8.39,12.64,15.99,18.71,27,55,76,50.6,48.0
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip34.las,1.37,27.38,12.47,196.14,6.38,0.27,2.03,3.18,4.26,7.22,11.7,17.56,21.66,39,83,110,60.8,54.2
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip35.las,1.38,30.21,19.05,384.29,4.61,-0.63,3.47,10.88,13.02,16.34,19.56,22.42,24.51,29,70,105,41.0,39.9
C:/gaines/projects/lubrecht/data/code/laser_lef/laser_lef/laser_clipped/crip36.las,1.37,27.26,16.89,302.25,4.11,-0.9,5.31,10.59,12.39,14.67,17.07,19.61,21.76,32,60,92,47.5,43.9
