"","RIPID","min","max","avg","qav","std","ske","kur","p05","p10","p25","p50","p75","p90","int_p25","int_p50","int_p75","cov","dns","DBH","TotalHt","CrownHT","ba","ba.live","total.count","live.count","dbh.sq","crown.length","crown.mass","crown.mass.kg","mean.dbh.total","mean.dbh.live","mean.ht.total","mean.ht.live","max.ht.total","mean.crownht.total","mean.crownht.live","ba.ac.total","ba.ac.live","tpa.total","tpa.live","mean.crown.mass.lbs","mean.crown.mass.kg","qmd.total","qmd.live","crown.length.total","crown.length.live","crown.ratio.total","crown.ratio.live","B1.max","B2.max","B3.max","B4.max","B5.max","evi.max","mndwi.max","ndvi.max","ndwi.max","B1.mean","B2.mean","B3.mean","B4.mean","B5.mean","evi.mean","mndwi.mean","ndvi.mean","ndwi.mean","B1.min","B2.min","B3.min","B4.min","B5.min","evi.min","mndwi.min","ndvi.min","ndwi.min"
"1",2,1.37,26.87,15.7,278.17,5.62,-1.13,3.77,2.28,5.09,13.88,16.95,19.28,21.39,44,69,88,51.7,49.8,215.2,1078.3,549,17.58249612,17.58249612,15,15,3223.78,529.3,2029.22679117552,920.45123431712,14.3466666666667,14.3466666666667,71.8866666666667,71.8866666666667,94.3,36.6,36.6,70.32998448,70.32998448,60,60,135.281786078368,61.3634156211413,14.6601045926237,14.6601045926237,35.2866666666667,35.2866666666667,0.490865250857832,0.490865250857832,292.5,346.6666667,498.25,467.1666667,2053.916667,3.564103851,-0.440179929,0.758544798,-0.557458073,153.4558081,207.4166667,369.0656566,348.719697,1765.19697,1.700488661,-0.571486905,0.669438307,-0.652843739,14.83333333,80.41666667,204.8333333,211.3333333,1258.583333,1.327029715,-0.689355279,0.579103495,-0.755229548
"2",3,1.38,29.49,15.1,295.53,8.21,-0.41,1.85,1.79,2.31,6.96,17.01,21.77,24.56,38,62,77,33.8,34.7,134,630.94,286.9,13.22311392,13.22311392,8,8,2424.48,344.04,3927.84335113453,1781.65805639777,16.75,16.75,78.8675,78.8675,93.7,35.8625,35.8625,52.89245568,52.89245568,32,32,490.980418891817,222.707257049722,17.408618555187,17.408618555187,43.005,43.005,0.545281643262434,0.545281643262434,362.6363636,424.0909091,645.0909091,643.3636364,2516.636364,1.699213563,-0.482407862,0.714623847,-0.542148669,225.4632867,292.3991841,482.6538462,476.7284382,2081.66958,1.47725978,-0.554052575,0.630260522,-0.626490468,66,144.7272727,298.1818182,343.3636364,1700.818182,1.190536812,-0.65222583,0.529012667,-0.71141191
"3",4,1.37,27.18,11.13,173.25,7.02,0.17,1.69,2.06,2.48,3.84,11.46,16.77,21,30,50,67,62.9,54.1,280.5,1330.8,566,22.94514162,22.94514162,21,21,4207.03,764.8,6673.19982313992,3026.94358302636,13.3571428571429,13.3571428571429,63.3714285714286,63.3714285714286,88,26.952380952381,26.952380952381,91.78056648,91.78056648,84,84,317.77142014952,144.140170620303,14.1539662958749,14.1539662958749,36.4190476190476,36.4190476190476,0.574691914637812,0.574691914637812,659.5555556,706.7777778,841.4444444,829.1111111,2318.333333,1.932169201,-0.35333042,0.758699126,-0.46768166,223.5384615,281.8290598,441.9059829,443.0854701,1920.777778,1.521127225,-0.538138482,0.631649057,-0.632801228,34.44444444,87.44444444,266.2222222,261.7777778,1720.888889,1.259999322,-0.649015665,0.473639442,-0.752086514
"4",5,1.37,29.73,11.65,164.56,5.36,0.48,3.18,3.41,4.77,7.71,11.39,14.82,18.83,35,60,83,54.2,49.1,335.8,1730.2,924.3,20.93441544,18.75281544,34,33,3838.36,805.9,2253.40578517268,1022.138158928,9.87647058823529,10.1757575757576,50.8882352941176,52.430303030303,91.6,27.1852941176471,28.0090909090909,83.73766176,75.01126176,136,132,68.2850237931114,30.9738836038789,10.6251089959807,10.7848940372142,23.7029411764706,24.4212121212121,0.465784302392787,0.465784302392787,254.0833333,304.8333333,463.0833333,393.5,2214.833333,2.140861824,-0.452875532,0.807574848,-0.596671,128.0972222,173.3263889,351.2569444,286.7291667,1865.555556,1.747036258,-0.546350896,0.730957905,-0.682912235,20.83333333,65.58333333,249,219,1505.166667,1.440297921,-0.646472504,0.641819095,-0.760807306
"5",6,1.48,22.7,11.43,161.05,5.51,0.22,1.94,3.34,4.18,7.08,10.75,15.73,19.64,34,59,87,13.8,16,99.4,380.6,112,8.11162512,7.79660208,8,7,1487.28,268.6,1342.73456347,609.060402553751,12.425,14.2,47.575,54.3714285714286,74.3,14,16,32.44650048,31.18640832,32,28,191.819223352857,87.0086289362502,13.6348817376609,14.5763017061452,33.575,38.3714285714286,0.705727798213347,0.705727798213347,568.7,667.6,894,1134.5,2636.1,1.152697769,-0.531285489,0.498427305,-0.431343117,443.0272727,536.9272727,755.8636364,921.0727273,2237.709091,0.898082648,-0.56960122,0.419787684,-0.496997789,269.6,364.7,555.3,700.5,1806.3,0.64159088,-0.629673868,0.327466813,-0.554156291
"6",7,1.39,26.48,10.89,148.24,5.45,0.6,2.74,3.22,4.24,6.79,10.03,14.2,19.05,35,61,92,57.4,54.9,317.6,1334.1,500.5,25.35215544,24.43042944,29,28,4648.36,822.6,5098.16226969736,2312.51123546102,10.951724137931,11.3428571428571,46.0034482758621,47.6464285714286,89,17.2586206896552,17.875,101.40862176,97.72171776,116,112,182.077223917763,82.5896869807506,12.660500616566,12.8845976709736,28.7448275862069,29.7714285714286,0.624840716587962,0.624840716587962,614.7272727,653.1818182,808.2727273,746.1818182,2299.818182,2.104282653,-0.28520394,0.713942804,-0.479766453,229.4545455,291.0151515,465.6287879,456.5454545,1877.280303,1.522534719,-0.481310005,0.617505404,-0.609158603,90.36363636,163.2727273,323.3636364,349.2727273,1471,1.195202389,-0.590132242,0.500836345,-0.689392946
"7",8,1.46,24.94,13.18,196.05,4.72,-0.06,2.28,5.14,6.77,9.67,13.4,16.73,19.43,36,66,103,54.1,49,357.6,1669.3,857.7,22.48782372,22.24299366,35,34,4123.18,811.6,2270.89780452365,1030.07248685641,10.2171428571429,10.5176470588235,47.6942857142857,49.0970588235294,77.8,24.5057142857143,25.2264705882353,89.95129488,88.97197464,140,136,66.7911118977544,30.296249613424,10.8538077584386,11.0122658885445,23.1885714285714,23.8705882352941,0.486191816929252,0.486191816929252,335.4,386,581.4,501.5,2248.2,2.17313171,-0.358645052,0.78872484,-0.550738597,165.7545455,214.9909091,408.2272727,336.2363636,1829.354545,1.717775275,-0.471805075,0.689783794,-0.635315758,24.7,90.6,289.1,229.2,1357.9,1.338637849,-0.589791799,0.58772772,-0.707269168
"8",9,1.37,31.48,16.96,329.6,6.49,-0.41,2.36,4.82,7.1,12.37,17.96,21.92,24.86,19,41,61,68.6,62.4,681.8,4648.5,2619.8,41.6625606,38.82080844,67,64,7638.9,1946.2,4986.33175409537,2261.78524634644,10.1761194029851,10.653125,69.3805970149254,72.6328125,97.5,39.1014925373134,40.934375,166.6502424,155.28323376,268,256,77.9114336577402,35.3403944741632,10.6777072836738,10.9251001139578,30.2791044776119,31.6984375,0.436420350650748,0.436420350650748,295.5833333,331.25,513.8333333,470.25,1858,1.916746607,-0.259302569,0.777397767,-0.472626764,169.2743056,215.1458333,371.8611111,317.9328704,1549.388889,1.678735314,-0.454896547,0.650448233,-0.60181207,24.91666667,86,259.6666667,209.9166667,1197.583333,1.352051403,-0.594099621,0.509629243,-0.712247844
"9",10,1.37,30.22,17.12,318.1,4.99,-0.43,3.18,7.85,10.24,14.24,17.73,20.37,22.93,30,59,92,73.7,62.7,541,3101.4,1814,39.66486948,39.27981708,47,45,7272.62,1287.4,4076.24663037098,1848.97334227115,11.5106382978723,12.0222222222222,65.9872340425532,68.92,102.1,38.5957446808511,40.3111111111111,158.65947792,157.11926832,188,180,90.5832584526886,41.0882964949145,12.4393165304482,12.7127407657742,27.3914893617021,28.6088888888889,0.41510285677436,0.41510285677436,309.7272727,351.1818182,501.4545455,413.5454545,2010.909091,2.386490443,-0.260921986,0.856861857,-0.572129437,101.1060606,140.8848485,299.2636364,215.7010101,1653.861616,1.929619033,-0.445137593,0.769365722,-0.695168652,-4.454545455,37,209.3636364,134.2727273,1308.363636,1.614566009,-0.579245985,0.637737068,-0.781535479
"10",11,1.37,28.35,14.49,241.13,5.58,-0.36,2.41,4.28,6.21,10.55,15.32,18.75,21.05,33,66,98,67.4,60.1,484.9,2674.2,1341.3,33.45227262,33.11957862,44,41,6133.53,1289.9,4094.90315173453,1857.43588484738,11.0204545454545,11.8268292682927,60.7772727272727,65.2243902439024,88.5,30.4840909090909,32.7146341463415,133.80909048,132.47831448,176,164,99.8756866276714,45.3033142645702,11.8067103416197,12.2310380868889,30.2931818181818,32.509756097561,0.498429436840924,0.498429436840924,312.0909091,371,586.5454545,512.3636364,2427.545455,1.970570071,-0.416394613,0.816251896,-0.584261071,160.8531469,211.6923077,400.5734266,341.4825175,1971.916084,1.694166388,-0.515288104,0.708313725,-0.666138784,9.818181818,53.36363636,233,173,1555.363636,1.363901359,-0.626814989,0.598751431,-0.759769147
